"class","dialogue"
"일상 대화","퇴근하고 칼국수 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"직장 대화","오늘 스탠드업은 짧게 하자.
난 오전에 버그 두 개 처리할게.
나는 배포 스크립트 점검하고 문서화할게.
막히는 부분 있으면 바로 얘기하자.
어제 오류는 원인 찾았어?
환경 변수 누락이었어. 수정했어.
좋아, 재배포 전에 한번 더 확인해줘.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","오늘 작은 일 하나 끝냈어.
오, 어떤 거?
미루던 정리를 드디어 마무리했어.
그게 제일 어려운데 잘했다.
덕분에 마음이 조금 가벼워.
오늘은 스스로 칭찬해도 되겠다.
그래서 맛있는 거 하나 먹으려고.
좋네, 사진 보내줘.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","아침에 눈가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"직장 대화","어제 받은 요구사항 정리 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
조용한 음악도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","주말 오후에 지하철역 앞에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
차 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"직장 대화","내부 QA팀 일정이 하루 당겨졌대.
그럼 우선순위부터 바꾸자.
맞아, 디테일보다 핵심 기능 먼저.
테스트 범위는 유지할까?
최소 범위로 줄이자.
오케이, 이슈 보드 업데이트할게.
나는 담당 파트 체크리스트 정리할게.
좋아, 오후에 한번 더 확인하자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","마트에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 테스트 결과 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
구글 드라이브 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 사진 찍기 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"직장 대화","보안팀에서 중간 점검 회의를 제안했어.
언제래?
금요일 오후가 좋대.
그럼 자료는 수요일까지 준비하자.
회의실 예약은 내가 맡을게.
고마워, 체크리스트도 공유할게.
좋아, 일정엔 문제 없겠다.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"감정 대화","요즘 좀 멍하네.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 뜨거운 샤워가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 샐러드 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 미세먼지가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"직장 대화","어제 받은 디자인 시안 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
일기 쓰기도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","해질녘에 강변 산책로에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
콜드브루 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"일상 대화","서점에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 로드맵 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
컨플루언스 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 기타 연습 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 불안해.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 창밖 보기가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 된장찌개 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 강풍가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"직장 대화","어제 받은 보고서 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
따뜻한 차도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","저녁에 베이커리에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
라떼 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"일상 대화","플리마켓에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 제안서 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
문서함 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 베이킹 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 멍하네.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 조용한 음악가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 버거 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 안개가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"직장 대화","어제 받은 테스트 결과 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
짧은 낮잠도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","일요일 저녁에 공원에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
핫초코 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"일상 대화","지하철역 앞에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 회의록 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
슬랙 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 수영 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 불안해.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 뜨거운 샤워가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 파스타 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 소나기가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
천천히 걷기도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","아침에 영화관에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
라떼 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"일상 대화","영화관에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 점검표 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
지라 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 명상 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 멍하네.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 창밖 보기가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 비빔밥 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 비가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"일상 대화","주말 오후에 집 앞 편의점에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
핫초코 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"일상 대화","집 앞 편의점에서 간단히 장 봤어.
뭐 샀어?
기본 양념이랑 과일 조금.
요즘 과일이 좀 비싸지?
응, 그래도 필요한 건 샀어.
집에 와서 정리하니까 마음이 편하더라.
정리하면 기분이 달라지지.
맞아, 일주일 시작이 좀 가벼워졌어.
잘했다.
좋아, 그 계획대로 해보자."
"직장 대화","오후 회의 전에 제안서 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
컨플루언스 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 하이킹 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 불안해.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 조용한 음악가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","해질녘에 동네 카페에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
아메리카노 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"직장 대화","오후 회의 전에 회의록 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
노션 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 요가 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 멍하네.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 일기 쓰기가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 김밥 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"직장 대화","어제 받은 로드맵 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","저녁에 지하철역 앞에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
차 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"직장 대화","오후 회의 전에 점검표 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
구글 드라이브 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","요즘 좀 불안해.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 따뜻한 차가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 우동 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"일상 대화","아침에 맑음가 와서 길이 좀 막혔어.
그래서 늦었어?
다행히 버스가 제때 왔어.
지하철로 갈까 고민했거든.
환승 많으면 피곤하지.
맞아, 대신 책 한 장 읽었어.
요즘 무슨 책 읽어?
에세이 하나. 마음이 차분해져.
나도 추천해줘.
사진 찍어서 보낼게."
"직장 대화","어제 받은 제안서 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
산책도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","일요일 저녁에 강변 산책로에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
아메리카노 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"직장 대화","오후 회의 전에 요구사항 정리 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
피그마 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","요즘 등산 다시 시작했어.
꾸준히 하고 있어?
일주일에 두 번 정도.
처음엔 힘든데 흐름 타면 괜찮지.
맞아, 잠도 좀 잘 오더라.
시간 날 때 한번 같이 하자.
좋아, 이번 주말 어때?
괜찮아. 장소만 정하자.
그럼 {p} 근처에서 보자.
콜."
"감정 대화","요즘 좀 멍하네.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 짧은 낮잠가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 연어덮밥 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"직장 대화","어제 받은 회의록 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
뜨거운 샤워도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
"일상 대화","아침에 베이커리에 잠깐 들렀어.
사람은 많았어?
생각보다 조용했어.
차 한 잔 마시니까 좀 살겠더라.
그 시간대가 한산하지.
창가 자리 운 좋게 났어.
책 조금 읽다가 나왔어.
그런 여유가 좋지.
다음엔 같이 가자.
좋아, 시간 맞춰보자."
"직장 대화","오후 회의 전에 디자인 시안 최종본 올려둘게.
형식은 지난주 템플릿 맞지?
응, 제목이랑 요약만 다듬었어.
깃랩 링크로 공유할게.
좋아, 흐름만 한번 더 보고 갈게.
수정 필요하면 알려줘.
회의 끝나고 배포까지 맡을게.
고마워, 일정 맞추기 좋겠다.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","요즘 좀 불안해.
무슨 일 있어?
크게는 아닌데 마음이 자주 가라앉아.
그럴 땐 천천히 걷기가 도움이 되더라.
어제 그렇게 해봤더니 조금 나아졌어.
잘했어, 스스로를 너무 몰아붙이지는 마.
응, 오늘도 천천히 해볼게.
좋아, 밤엔 일찍 자.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"일상 대화","퇴근하고 비프스튜 해 먹었어.
생각보다 어렵지 않았어?
재료만 준비되면 금방이야.
양념은 대충 섞어도 맛이 나더라.
그게 집밥의 장점이지.
접시에 담으니까 꽤 그럴싸했어.
사진 찍었어?
응, 다음에 보여줄게.
그럼 레시피도 알려줘.
좋아, 메모해서 보낼게."
"직장 대화","어제 받은 점검표 피드백 정리했어.
어떤 내용이었어?
사례를 두 개 더 넣어 달래.
지난 분기 자료에서 가져오자.
그럼 수치 표는 내가 만들게.
고마워, 문장 흐름은 내가 다듬을게.
내일 오전에 합치자.
알겠어.
고마워, 조금 나아졌어.
내일 느낌 알려줘."
"감정 대화","밤에 자꾸 깨.
생각이 많아져서 그래?
응, 잡생각이 끊기질 않아.
자기 전에 조용한 음악 틀어봐.
창밖 보기도 해볼게.
좋아, 내일은 좀 나아질 거야.
응, 알려줄게.
그럼 이따 다시 이야기하자.
좋아, 그 계획대로 해보자.
조용히 쉬는 게 좋겠다."
