idx,class,conversation
84,일반 대화,"이사할 집은 구했어?\n응. 어제 겨우 계약하고 왔어.\n잘됐다! 어디로 이사 가?\n회사 근처 오피스텔로. 이제 걸어서 출퇴근할 수 있어!\n와, 진짜 좋겠다. 나는 출퇴근만 2시간인데.\n너도 이쪽으로 이사 와. 같이 다니게."
85,일반 대화,"오늘 우리 팀 회식인 거 알지?\n네. 근데 저 오늘 몸이 좀 안 좋아서... 빠져도 될까요?\n어디 아파? 병원 가봤어?\n그건 아닌데... 그냥 감기 기운이 좀 있어서요.\n그래? 알았어. 그럼 무리하지 말고 일찍 들어가.\n감사합니다, 팀장님. 내일은 꼭 참석하겠습니다."
86,일반 대화,"요즘 주말마다 등산 다니는 거 재밌어.\n와, 대단하다. 안 힘들어?\n처음엔 힘들었는데, 정상 올라가면 기분이 너무 좋더라고.\n나도 한번 가보고 싶긴 한데... 자신이 없네.\n이번 주말에 같이 갈래? 초보자 코스로 천천히 가면 돼.\n그래? 그럼 한번 도전해 볼까?"
87,일반 대화,"이거 원두 새로 산 건데 한번 마셔볼래?\n오, 향 좋다. 무슨 원두야?\n에티오피아 예가체프. 산미 있는 거 좋아한다고 했잖아.\n맞아! 나 산미 있는 거 완전 좋아해. 잘 마실게.\n어때? 맛있어?\n응. 향도 좋고 맛도 깔끔하네. 완전 내 스타일이야."
88,일반 대화,"오늘 점심시간에 은행 좀 다녀와도 될까요?\n네, 다녀오세요. 무슨 일인데요?\n카드 재발급받아야 하는데, 본인 확인이 필요하다고 해서요.\n아, 그렇구나. 그럼 볼일 보고 천천히 와요.\n감사합니다. 최대한 빨리 다녀올게요!\n네. 알겠습니다."
89,일반 대화,"요즘 유튜브로 뭐 봐?\n나? 나는 '피식대학' 봐. 너무 웃겨.\n아, 나도 그거 봤는데! 'B대면 데이트' 진짜 레전드지.\n맞아. 김갑생 할머니김... 하하. 생각만 해도 웃기네.\n너는 뭐 보는데?\n나는 요리 채널 봐. '백종원의 요리비책'?"
9S,일반 대화,"오늘따라 커피가 유난히 맛있네요.\n그러게요. 원두가 좋은 건가? 아니면 00씨가 타서 그런가?\n에이, 제가 탔다고요? \n하하. 기분 좋네요.\n진짜예요. 오늘 커피 향이 유난히 좋아요.\n감사합니다. 다음에도 제가 타드릴게요.\n좋죠. 기대하고 있겠습니다."
91,일반 대화,"벌써 11월이네. 시간 진짜 빠르다.\n그러게. 올해도 이제 두 달밖에 안 남았어.\n연초에 세웠던 계획은 다 지켰어?\n아니... 다이어트 또 실패했어. 너는?\n나도... 금연한다고 했는데. 하하.\n우리 내년부터는 진짜 열심히 해보자!"
92,일반 대화,"혹시 볼펜 좀 빌릴 수 있을까요?\n네. 여기요. 파란색, 검은색 둘 다 있는데 어떤 거 드릴까요?\n검은색으로 부탁드려요. 감사합니다.\n천만에요. 다 쓰시고 책상 위에 두세요.\n네. 금방 쓰고 돌려드릴게요.\n괜찮아요. 천천히 쓰세요."
93,일반 대화,"오늘 저녁에 뭐 입고 가지?\n무슨 약속 있어? 데이트?\n아니. 그냥 친구 만나는 건데... 날씨가 애매해서.\n저녁엔 쌀쌀하니까 겉옷 하나 챙겨가.\n그럴까? 뭘 입어야 할지 모르겠네.\n그냥 편하게 입어. 청바지에 맨투맨 어때?"
94,일반 대화,"강아지 키우고 싶은데, 부모님이 반대하셔.\n왜? 털 날린다고?\n응. 그리고 끝까지 책임 못 질 것 같다고.\n하긴... 강아지 키우S는 게 쉬운 일은 아니지.\n나도 아는데... 그래도 너무 키우고 싶어.\n일단 주말마다 유기견 봉사활동이라도 가보는 건 어때?"
95,일반 대화,"오늘따라 일이 손에 안 잡히네.\n왜? 무슨 일 있어?\n아니... 그냥 좀 지치네. 번아웃인가 봐.\n어떡해... 이럴 땐 좀 쉬어야 하는데.\n그러게 말이야. 주말에 아무것도 안 하고 잠만 자야겠어.\n그래. 푹 쉬고 와. 맛있는 거 먹고."
96,일반 대화,"이거 향수 냄새 너무 좋지 않아?\n응. 무슨 향이야? 되게 시원하고 상쾌하다.\n이번에 새로 산 건데, '조 말론' 거야.\n아, 역시. 비싼 건 다르구나. 나도 한번 뿌려봐도 돼?\n그럼. 손목에 살짝 뿌려봐.\n와, 향 너무 좋다. 나도 이거 사야겠다."
97,일반 대화,"오늘 점심은 뭐 먹지?\n어제 술 마셨으니까 해장해야 하는데...\n그럼 뼈해장국 어때? 근처에 맛집 있는데.\n오, 좋아! 거기 어디야?\n여기서 걸어서 10분 정도 걸려. 가자.\n그래. 얼른 가자. 속 쓰려 죽겠다."
98,일반 대화,"오늘 아침에 지각할 뻔했어.\n왜? 늦잠 잤어?\n아니. 버스가 눈앞에서 그냥 지나가 버렸어.\n헐, 진짜? 완전 짜증 났겠다.\n응. 다음 버스 20분이나 기다렸잖아. \n\n어휴, 고생했네. 다음부턴 그냥 택시 타."
99,일반 대화,"주말에 뭐 할 거야?\n나 이번에 새로 산 자전거 타고 한강 가려고.\n와, 좋다! 날씨도 좋을 것 같은데.\n너도 같이 갈래? 자전거 빌려주는데 있어.\n그래? 그럼 나도 갈까? 오랜만에 치맥이나 하자.\n콜! 내가 돗자리 챙겨갈게."
